Muscle_Group,Equipment,Exercise,Description,,,,,,,,,,,,,,muscle_group_id,muscle_group,,equipment_id,equipment,,,id,muscle_group_id,equipment_id,name,description
Abdominals,Barbell,Barbell Landmine Side Bend,A side bend exercise using a barbell landmine setup to target the obliques while providing resistance throughout the movement.,,"('Abdominals', 'Barbell', 'Barbell Landmine Side Bend', 'A side bend exercise using a barbell landmine setup to target the obliques while providing resistance throughout the movement.'),",,,,,,,,,,,,1,Abdominals,,1,Barbell,,,1,1,1,Barbell Landmine Side Bend,A side bend exercise using a barbell landmine setup to target the obliques while providing resistance throughout the movement.
Abdominals,Barbell,Barbell Roll Outs,"Starting in a kneeling position, rolling a barbell forward to extend the body while maintaining core tension.",,"('Abdominals', 'Barbell', 'Barbell Roll Outs', 'Starting in a kneeling position, rolling a barbell forward to extend the body while maintaining core tension.'),",,,,,,,,,,,,2,Biceps,,2,Bodyweight,,,2,1,1,Barbell Roll Outs,"Starting in a kneeling position, rolling a barbell forward to extend the body while maintaining core tension."
Abdominals,Barbell,Barbell Situp,A situp variation performed while holding a barbell across the chest for added resistance.,,"('Abdominals', 'Barbell', 'Barbell Situp', 'A situp variation performed while holding a barbell across the chest for added resistance.'),",,,,,,,,,,,,3,Upper_Back,,3,Cables,,,3,1,1,Barbell Situp,A situp variation performed while holding a barbell across the chest for added resistance.
Abdominals,Barbell,Landmine Hollow Hold,Maintaining a hollow body position while holding the end of a landmine bar to increase core stability.,,"('Abdominals', 'Barbell', 'Landmine Hollow Hold', 'Maintaining a hollow body position while holding the end of a landmine bar to increase core stability.'),",,,,,,,,,,,,4,Calves,,4,Dumbbells,,,4,1,1,Landmine Hollow Hold,Maintaining a hollow body position while holding the end of a landmine bar to increase core stability.
Abdominals,Barbell,Landmine Kneeling Twist,A rotational core exercise performed in a kneeling position using a landmine for resistance.,,"('Abdominals', 'Barbell', 'Landmine Kneeling Twist', 'A rotational core exercise performed in a kneeling position using a landmine for resistance.'),",,,,,,,,,,,,5,Chest,,5,Machine,,,5,1,1,Landmine Kneeling Twist,A rotational core exercise performed in a kneeling position using a landmine for resistance.
Abdominals,Barbell,Landmine Oblique Twist,A standing rotational exercise using a landmine to target the obliques through controlled twisting movements.,,"('Abdominals', 'Barbell', 'Landmine Oblique Twist', 'A standing rotational exercise using a landmine to target the obliques through controlled twisting movements.'),",,,,,,,,,,,,6,Forearms,,6,Smith Machine,,,6,1,1,Landmine Oblique Twist,A standing rotational exercise using a landmine to target the obliques through controlled twisting movements.
Abdominals,Barbell,Landmine Russian Twist,A seated twisting exercise using a landmine to target the obliques and deep core muscles.,,"('Abdominals', 'Barbell', 'Landmine Russian Twist', 'A seated twisting exercise using a landmine to target the obliques and deep core muscles.'),",,,,,,,,,,,,7,Glutes,,,,,,7,1,1,Landmine Russian Twist,A seated twisting exercise using a landmine to target the obliques and deep core muscles.
Abdominals,Barbell,Landmine Sit Up,A situp variation incorporating a landmine bar for added resistance and rotational component.,,"('Abdominals', 'Barbell', 'Landmine Sit Up', 'A situp variation incorporating a landmine bar for added resistance and rotational component.'),",,,,,,,,,,,,8,Hamstrings,,,,,,8,1,1,Landmine Sit Up,A situp variation incorporating a landmine bar for added resistance and rotational component.
Abdominals,Barbell,Landmine Stationary Twist,A standing core rotation exercise using fixed foot positioning and landmine for resistance.,,"('Abdominals', 'Barbell', 'Landmine Stationary Twist', 'A standing core rotation exercise using fixed foot positioning and landmine for resistance.'),",,,,,,,,,,,,9,Lower_Back,,,,,,9,1,1,Landmine Stationary Twist,A standing core rotation exercise using fixed foot positioning and landmine for resistance.
Abdominals,Bodyweight,Alternating Bent Leg Raise,Lying on back and raising one bent knee at a time toward the chest to target lower abs.,,"('Abdominals', 'Bodyweight', 'Alternating Bent Leg Raise', 'Lying on back and raising one bent knee at a time toward the chest to target lower abs.'),",,,,,,,,,,,,10,Quadriceps,,,,,,10,1,2,Alternating Bent Leg Raise,Lying on back and raising one bent knee at a time toward the chest to target lower abs.
Abdominals,Bodyweight,Alternating Heel Touch,A crunch variation where you alternately reach down to touch each heel to target obliques.,,"('Abdominals', 'Bodyweight', 'Alternating Heel Touch', 'A crunch variation where you alternately reach down to touch each heel to target obliques.'),",,,,,,,,,,,,11,Shoulders,,,,,,11,1,2,Alternating Heel Touch,A crunch variation where you alternately reach down to touch each heel to target obliques.
